County,PovertyPercentage
Trinity,22
Imperial,21.1
Madera,20.1
Humboldt,19.8
Fresno,19.5
Kern,19.3
Merced,18.5
Tulare,18.5
Butte,18.2
Yolo,17.4
Modoc,16.9
Siskiyou,16.7
Lake,16.6
Kings,16.2
Tehama,16.2
Mendocino,16.2
Mariposa,16
Yuba,15.4
Glenn,15.3
Lassen,15.2
Del Norte,14.3
San Bernardino,13.8
Los Angeles,13.7
Alpine,13.7
Stanislaus,13.7
Santa Barbara,13.5
Sutter,13.3
Shasta,13.3
Sacramento,13.1
Calaveras,13.1
San Joaquin,12.9
San Luis Obispo,12.6
Sierra,12.6
Monterey,12.3
Inyo,11.9
Riverside,11.4
Santa Cruz,11.4
Tuolumne,11.4
Mono,11.3
Colusa,10.9
Plumas,10.9
San Diego,10.6
San Francisco,10.5
Nevada,10.4
Orange,9.7
Alameda,9.2
Solano,9
Ventura,9
Sonoma,8.9
El Dorado,8.6
Contra Costa,8.3
Napa,7.9
Amador,7.8
San Benito,7.5
Marin,7
Santa Clara,6.9
Placer,6.8
San Mateo,6.4